id;user;id_discord
1;Rustic Bouvet Island (Bouvetoya);Awesome Concrete Pants Armenia
2;Coordinator Baby e-enable;South Georgia and the South Sandwich Islands Technician Assurance
3;Shore;generate Intranet
4;deposit supply-chains virtual;Intelligent Steel Pants networks
5;dedicated;Handcrafted Fresh Fish Borders Specialist
6;Technician Pataca;Money Market Account Analyst
7;Cotton Florida;Small Plastic Soap Wisconsin synthesize
8;Greece supply-chains;driver Licensed Wooden Towels
9;Computer;Pizza Cambridgeshire RAM
10;Vista Metrics;invoice Texas Product
